q2,dBR/dq2,dBR/dq2_upper,dBR/dq2_lower
1.1,7.900724043885342e-13,1.3108912203505735e-12,4.792825423935311e-13
1.1072485947812527,7.758342861852568e-13,1.2875411426180191e-12,4.702133712434255e-13
1.114497189562505,7.61893581770105e-13,1.2646725864529509e-12,4.613396121106914e-13
1.1217457843437575,7.482417080601628e-13,1.2422716468386577e-12,4.526557293762144e-13
1.12899437912501,7.34870357557849e-13,1.2203248676360959e-12,4.441563609822916e-13
1.1362429739062627,7.217714875487526e-13,1.1988192238856244e-12,4.358363118440552e-13
1.1434915686875151,7.089373097833215e-13,1.1777421049041264e-12,4.276905475485317e-13
1.1507401634687675,6.963602806174555e-13,1.15708129813656e-12,4.197141883264792e-13
1.1579887582500203,6.840330915867428e-13,1.1368249737199471e-12,4.119025032819324e-13
1.1652373530312727,6.71948660393107e-13,1.1169616697250746e-12,4.042509048679647e-13
1.1724859478125254,6.601001222808309e-13,1.0974802780380355e-12,3.967549435941617e-13
1.1797345425937775,6.484808217827336e-13,1.0783700308495325e-12,3.894103029552603e-13
1.1869831373750304,6.370843048169045e-13,1.0596204877200023e-12,3.8221279456928523e-13
1.194231732156283,6.25904311115847e-13,1.041221523190629e-12,3.751583535146061e-13
1.2014803269375354,6.149347669702697e-13,1.0231633149110454e-12,3.6824303385522067e-13
1.208728921718788,6.041697782725352e-13,1.0054363322585074e-12,3.6146300434603145e-13
1.2159775165000404,5.936036238427202e-13,9.880313254214198e-13,3.5481454430756444e-13
1.223226111281293,5.83230749024065e-13,9.709393149244616e-13,3.4829403966280485e-13
1.2304747060625454,5.730457595322507e-13,9.54151581570447e-13,3.418979791266328e-13
1.237723300843798,5.630434155470635e-13,9.376596567795548e-13,3.356229505415204e-13
1.2449718956250506,5.532186260321808e-13,9.214553133027928e-13,3.294656373508576e-13
1.252220490406303,5.435664432717496e-13,9.055305562907843e-13,3.2342281520321216e-13
1.2594690851875556,5.340820576129732e-13,8.898776147002573e-13,3.174913486815739e-13
1.2667176799688082,5.247607924014563e-13,8.744889330165426e-13,3.1166818814917e-13
1.2739662747500606,5.15598099101857e-13,8.593571632793901e-13,3.059503667080505e-13
1.2812148695313132,5.065895525911047e-13,8.444751573915713e-13,3.003349972626549e-13
1.2884634643125656,4.977308466155481e-13,8.298359596957485e-13,2.9481926968336415e-13
1.2957120590938185,4.89017789403086e-13,8.154327998051208e-13,2.894004480645738e-13
1.3029606538750709,4.804462994200473e-13,8.012590856705185e-13,2.840758680717387e-13
1.3102092486563233,4.720124012653278e-13,7.873083968723957e-13,2.788429343723231e-13
1.317457843437576,4.637122216920773e-13,7.735744781206195e-13,2.7369911814577665e-13
1.3247064382188285,4.555419857495895e-13,7.600512329508549e-13,2.6864195466733997e-13
1.331955033000081,4.474980130363078e-13,7.467327176025205e-13,2.636690409608218e-13
1.3392036277813333,4.395767140570369e-13,7.336131350658386e-13,2.5877803351651725e-13
1.346452222562586,4.317745866751284e-13,7.206868292840835e-13,2.5396664606821533e-13
1.3537008173438383,4.240882126524835e-13,7.079482794986588e-13,2.492326474256272e-13
1.360949412125091,4.165142542698966e-13,6.95392094724033e-13,2.4457385935759386e-13
1.3681980069063435,4.090494510188122e-13,6.830130083387209e-13,2.39988154521011e-13
1.375446601687596,4.0169061635695117e-13,6.708058727793534e-13,2.3547345443090006e-13
1.3826951964688483,3.9443463452007515e-13,6.587656543249526e-13,2.31027727467272e-13
1.3899437912501011,3.8727845738059334e-13,6.468874279560608e-13,2.2664898691332144e-13
1.3971923860313535,3.80219101345492e-13,6.351663722762104e-13,2.223352890204684e-13
