# s [m_b^2],Re disc 2-loop,Im disc 2-loop,Re disc fit,Im disc fit
0.83916,-0.00000,0.30444,0.00000,0.30444
0.84368,-0.00000,0.30455,0.00000,0.30455
0.84819,-0.00000,0.30467,0.00000,0.30467
0.85271,-0.00000,0.30478,0.00000,0.30478
0.85722,-0.00000,0.30491,0.00000,0.30491
0.86173,-0.00000,0.30503,0.00000,0.30503
0.86625,-0.00000,0.30516,0.00000,0.30516
0.87076,-0.00000,0.30530,0.00000,0.30530
0.87528,-0.00000,0.30544,0.00000,0.30544
0.87979,-0.00000,0.30558,0.00000,0.30558
0.88431,-0.00000,0.30572,0.00000,0.30572
0.88882,-0.00000,0.30587,0.00000,0.30587
0.89334,-0.00000,0.30602,0.00000,0.30602
0.89785,-0.00000,0.30618,0.00000,0.30618
0.90237,-0.00000,0.30634,0.00000,0.30634
0.90688,-0.00000,0.30650,0.00000,0.30650
0.91140,-0.00000,0.30666,0.00000,0.30666
0.91591,-0.00000,0.30682,0.00000,0.30682
0.92043,-0.00000,0.30699,0.00000,0.30699
0.92494,-0.00000,0.30716,0.00000,0.30716
0.92946,-0.00000,0.30734,0.00000,0.30734
0.93397,-0.00000,0.30751,0.00000,0.30751
0.93848,-0.00000,0.30769,0.00000,0.30769
0.94300,-0.00000,0.30787,0.00000,0.30787
0.94751,-0.00000,0.30805,0.00000,0.30805
0.95203,-0.00000,0.30823,0.00000,0.30823
0.95654,-0.00000,0.30842,0.00000,0.30842
0.96106,-0.00000,0.30861,0.00000,0.30860
0.96557,-0.00000,0.30879,0.00000,0.30879
0.97009,-0.00000,0.30898,0.00000,0.30898
0.97460,0.00000,0.30918,0.00000,0.30918
0.97912,0.00000,0.30937,0.00000,0.30937
0.98363,0.00000,0.30956,0.00000,0.30956
0.98815,0.00000,0.30976,0.00000,0.30976
0.99266,-0.00000,0.30996,0.00000,0.30996
0.99718,0.00000,0.31016,0.00000,0.31016
1.00169,0.00001,0.31036,0.00000,0.31036
1.00621,0.00000,0.31056,0.00000,0.31056
1.01072,-0.00000,0.31076,0.00000,0.31076
1.01523,-0.00000,0.31096,0.00000,0.31096
1.01975,0.00000,0.31117,0.00000,0.31117
1.02426,0.00000,0.31137,0.00000,0.31137
1.02878,0.00000,0.31158,0.00000,0.31158
1.03329,-0.00000,0.31179,0.00000,0.31179
1.03781,0.00000,0.31199,0.00000,0.31199
1.04232,0.00000,0.31220,0.00000,0.31220
1.04684,0.00000,0.31241,0.00000,0.31241
1.05135,-0.00000,0.31262,0.00000,0.31262
1.05587,-0.00000,0.31284,0.00000,0.31284
1.06038,-0.00000,0.31305,0.00000,0.31305
1.06490,-0.00000,0.31326,0.00000,0.31326
1.06941,-0.00000,0.31347,0.00000,0.31347
1.07393,-0.00000,0.31369,0.00000,0.31369
1.07844,-0.00000,0.31390,0.00000,0.31390
1.08296,-0.00000,0.31412,0.00000,0.31412
1.08747,-0.00000,0.31433,0.00000,0.31433
1.09198,-0.00000,0.31455,0.00000,0.31455
1.09650,-0.00000,0.31477,0.00000,0.31477
1.10101,-0.00000,0.31498,0.00000,0.31498
1.10553,-0.00000,0.31520,0.00000,0.31520
1.11004,-0.00000,0.31542,0.00000,0.31542
1.11456,-0.00000,0.31564,0.00000,0.31564
1.11907,-0.00000,0.31586,0.00000,0.31586
1.12359,-0.00000,0.31608,0.00000,0.31608
1.12810,-0.00000,0.31630,0.00000,0.31630
1.13262,-0.00000,0.31652,0.00000,0.31651
1.13713,-0.00000,0.31674,0.00000,0.31674
1.14165,-0.00000,0.31696,0.00000,0.31696
1.14616,-0.00000,0.31718,0.00000,0.31718
1.15068,-0.00000,0.31740,0.00000,0.31740
1.15519,-0.00000,0.31762,0.00000,0.31762
1.15971,-0.00000,0.31784,0.00000,0.31784
1.16422,-0.00000,0.31806,0.00000,0.31806
1.16874,-0.00000,0.31828,0.00000,0.31828
1.17325,-0.00000,0.31850,0.00000,0.31850
1.17776,-0.00000,0.31873,0.00000,0.31873
1.18228,-0.00000,0.31895,0.00000,0.31895
1.18679,-0.00000,0.31917,0.00000,0.31917
1.19131,-0.00000,0.31939,0.00000,0.31939
1.19582,-0.00000,0.31962,0.00000,0.31961
1.20034,-0.00000,0.31984,0.00000,0.31984
1.20485,-0.00000,0.32006,0.00000,0.32006
1.20937,-0.00000,0.32028,0.00000,0.32028
1.21388,-0.00000,0.32051,0.00000,0.32050
1.21840,-0.00000,0.32073,0.00000,0.32073
1.22291,-0.00000,0.32095,0.00000,0.32095
1.22743,-0.00000,0.32117,0.00000,0.32117
1.23194,-0.00000,0.32140,0.00000,0.32140
1.23646,-0.00000,0.32162,0.00000,0.32162
1.24097,-0.00000,0.32184,0.00000,0.32184
1.24549,-0.00000,0.32206,0.00000,0.32206
1.25000,-0.00000,0.32229,0.00000,0.32229
