# s [m_b^2],Re disc 2-loop,Im disc 2-loop,Re disc fit,Im disc fit
1.81272,0.00000,3.91477,0.00000,3.90682
1.81941,0.00000,3.93016,0.00000,3.92316
1.82610,0.00000,3.94525,0.00000,3.93920
1.83278,0.00000,3.96004,0.00000,3.95493
1.83947,0.00000,3.97455,0.00000,3.97037
1.84616,0.00000,3.98877,0.00000,3.98553
1.85285,0.00000,4.00273,0.00000,4.00042
1.85954,0.00000,4.01643,0.00000,4.01504
1.86623,0.00000,4.02987,0.00000,4.02939
1.87292,0.00000,4.04307,0.00000,4.04350
1.87960,0.00000,4.05602,0.00000,4.05736
1.88629,0.00000,4.06874,0.00000,4.07098
1.89298,0.00000,4.08123,0.00000,4.08436
1.89967,0.00000,4.09350,0.00000,4.09752
1.90636,0.00000,4.10555,0.00000,4.11045
1.91305,0.00000,4.11739,0.00000,4.12317
1.91974,0.00000,4.12903,0.00000,4.13568
1.92643,0.00000,4.14046,0.00000,4.14798
1.93311,0.00000,4.15170,0.00000,4.16009
1.93980,0.00000,4.16275,0.00000,4.17199
1.94649,0.00000,4.17362,0.00000,4.18371
1.95318,0.00000,4.18431,0.00000,4.19524
1.95987,0.00000,4.19482,0.00000,4.20659
1.96656,0.00000,4.20516,0.00000,4.21776
1.97325,0.00000,4.21533,0.00000,4.22876
1.97993,0.00000,4.22534,0.00000,4.23959
1.98662,0.00000,4.23519,0.00000,4.25026
1.99331,0.00000,4.24488,0.00000,4.26076
2.00000,0.00000,4.25443,0.00000,4.27111
