# s [m_b^2],Im disc 2-loop,Im disc fit
1.35120,1.56359,1.57882
1.35789,1.57776,1.59294
1.36458,1.59186,1.60698
1.37127,1.60589,1.62093
1.37796,1.61985,1.63480
1.38465,1.63373,1.64860
1.39133,1.64754,1.66231
1.39802,1.66128,1.67595
1.40471,1.67494,1.68951
1.41140,1.68854,1.70299
1.41809,1.70206,1.71640
1.42478,1.71552,1.72973
1.43147,1.72891,1.74299
1.43816,1.74223,1.75618
1.44484,1.75548,1.76929
1.45153,1.76866,1.78233
1.45822,1.78178,1.79530
1.46491,1.79483,1.80819
1.47160,1.80781,1.82102
1.47829,1.82073,1.83378
1.48498,1.83359,1.84647
1.49166,1.84638,1.85909
1.49835,1.85910,1.87164
1.50504,1.87177,1.88413
1.51173,1.88437,1.89655
1.51842,1.89690,1.90890
1.52511,1.90938,1.92119
1.53180,1.92179,1.93342
1.53848,1.93414,1.94558
1.54517,1.94644,1.95768
1.55186,1.95867,1.96972
1.55855,1.97084,1.98169
1.56524,1.98295,1.99360
1.57193,1.99501,2.00546
1.57862,2.00700,2.01725
1.58531,2.01894,2.02898
1.59199,2.03082,2.04066
1.59868,2.04265,2.05227
1.60537,2.05441,2.06383
1.61206,2.06612,2.07533
1.61875,2.07778,2.08677
1.62544,2.08938,2.09816
1.63213,2.10092,2.10949
1.63881,2.11241,2.12077
1.64550,2.12385,2.13199
1.65219,2.13523,2.14315
1.65888,2.14656,2.15427
1.66557,2.15784,2.16533
1.67226,2.16906,2.17633
1.67895,2.18023,2.18729
1.68563,2.19135,2.19819
1.69232,2.20242,2.20904
1.69901,2.21344,2.21984
1.70570,2.22440,2.23059
1.71239,2.23532,2.24129
1.71908,2.24618,2.25194
1.72577,2.25700,2.26255
1.73245,2.26777,2.27310
1.73914,2.27848,2.28360
1.74583,2.28915,2.29406
1.75252,2.29978,2.30447
1.75921,2.31035,2.31483
1.76590,2.32088,2.32514
1.77259,2.33135,2.33541
1.77928,2.34179,2.34563
1.78596,2.35217,2.35581
1.79265,2.36251,2.36594
1.79934,2.37281,2.37603
1.80603,2.38305,2.38607
1.81272,2.39326,2.39607
1.81941,2.40341,2.40603
1.82610,2.41353,2.41594
1.83278,2.42360,2.42581
1.83947,2.43362,2.43564
1.84616,2.44360,2.44542
1.85285,2.45354,2.45516
1.85954,2.46344,2.46486
1.86623,2.47329,2.47452
1.87292,2.48310,2.48414
1.87960,2.49287,2.49372
1.88629,2.50260,2.50326
1.89298,2.51228,2.51276
1.89967,2.52192,2.52221
1.90636,2.53153,2.53163
1.91305,2.54109,2.54101
1.91974,2.55061,2.55036
1.92643,2.56009,2.55966
1.93311,2.56953,2.56892
1.93980,2.57893,2.57815
1.94649,2.58829,2.58734
1.95318,2.59762,2.59649
1.95987,2.60690,2.60561
1.96656,2.61615,2.61469
1.97325,2.62535,2.62373
1.97993,2.63452,2.63274
1.98662,2.64365,2.64171
1.99331,2.65275,2.65065
2.00000,2.66181,2.65955
